# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] 
+0.0000000000000000e+00 -1.0382069684038836e-03 +1.7983382432081672e-06 +6.9967060494785793e-03 -2.9466168045577104e+00 
+1.0000000000000001e-01 -1.0382069895060362e-03 +1.6131734460740071e-06 +7.1131396326760488e-03 -2.9467234752576816e+00 
+2.0000000000000001e-01 -1.0382070082533403e-03 +1.4248390129639467e-06 +7.2295991899926143e-03 -2.9468215051153757e+00 
+3.0000000000000004e-01 -1.0382070245998306e-03 +1.2333385870018021e-06 +7.3460836272360754e-03 -2.9469112588483668e+00 
+4.0000000000000002e-01 -1.0382070384995440e-03 +1.0386758100561429e-06 +7.4625918503530581e-03 -2.9469931011149577e+00 
+5.0000000000000000e-01 -1.0382070499065166e-03 +8.4085432529302394e-07 +7.5791227652593409e-03 -2.9470673966372591e+00 
+5.9999999999999998e-01 -1.0382070587747841e-03 +6.3987777535806853e-07 +7.6956752778552726e-03 -2.9471345101150654e+00 
+6.9999999999999996e-01 -1.0382070650583825e-03 +4.3574980318044226e-07 +7.8122482940566314e-03 -2.9471948062610727e+00 
+7.9999999999999993e-01 -1.0382070687113465e-03 +2.2847405066990831e-07 +7.9288407197174917e-03 -2.9472486497311392e+00 
+8.9999999999999991e-01 -1.0382070696877122e-03 +1.8054161598348699e-08 +8.0454514607227814e-03 -2.9472964052857362e+00 
+9.9999999999999989e-01 -1.0382070679415148e-03 -1.9550622219353532e-07 +8.1620794229882738e-03 -2.9473384375824669e+00 
+1.0999999999999999e+00 -1.0382070634267901e-03 -4.1220345743639645e-07 +8.2787235124143210e-03 -2.9473751113553006e+00 
+1.2000000000000000e+00 -1.0382070560975730e-03 -6.3203390180139163e-07 +8.3953826349167024e-03 -2.9474067912845054e+00 
+1.3000000000000000e+00 -1.0382070459078968e-03 -8.5499391223270654e-07 +8.5120556962260865e-03 -2.9474338420963804e+00 
+1.4000000000000001e+00 -1.0382070328117986e-03 -1.0810798458567621e-06 +8.6287416023662303e-03 -2.9474566285022292e+00 
+1.5000000000000002e+00 -1.0382070167633125e-03 -1.3102880603303224e-06 +8.7454392592066325e-03 -2.9474755151861558e+00 
+1.6000000000000003e+00 -1.0382069977164727e-03 -1.5426149128487951e-06 +8.8621475725396692e-03 -2.9474908668612114e+00 
+1.7000000000000004e+00 -1.0382069756253137e-03 -1.7780567600684320e-06 +8.9788654483119647e-03 -2.9475030482655464e+00 
