# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] 
+0.0000000000000000e+00 -2.7645339167740656e-04 +4.7886088411527046e-07 +1.8630804616183196e-03 -7.8462410134831972e-01 
+1.0000000000000001e-01 -2.7645339729648051e-04 +4.2955523474975573e-07 +1.8940843035945038e-03 -7.8465246381495446e-01 
+2.0000000000000001e-01 -2.7645340228851074e-04 +3.7940552496983996e-07 +1.9250950915431911e-03 -7.8467852540536276e-01 
+3.0000000000000004e-01 -2.7645340664125584e-04 +3.2841272183700380e-07 +1.9561125341194148e-03 -7.8470238320659291e-01 
+4.0000000000000002e-01 -2.7645341034247448e-04 +2.7657779311036839e-07 +1.9871363400013470e-03 -7.8472413434056054e-01 
+5.0000000000000000e-01 -2.7645341337992498e-04 +2.2390170607374921e-07 +2.0181662178594463e-03 -7.8474387590712913e-01 
+5.9999999999999998e-01 -2.7645341574136599e-04 +1.7038542832727767e-07 +2.0492018763641718e-03 -7.8476170502220233e-01 
+6.9999999999999996e-01 -2.7645341741455552e-04 +1.1602992733039476e-07 +2.0802430241782695e-03 -7.8477771879496949e-01 
+7.9999999999999993e-01 -2.7645341838725265e-04 +6.0836170362464348e-08 +2.1112893700184748e-03 -7.8479201432634171e-01 
+8.9999999999999991e-01 -2.7645341864721462e-04 +4.8051251469936460e-09 +2.1423406224935445e-03 -7.8480468873937015e-01 
+9.9999999999999989e-01 -2.7645341818219999e-04 -5.2062240851831300e-08 +2.1733964902970766e-03 -7.8481583914394337e-01 
+1.0999999999999999e+00 -2.7645341697996609e-04 -1.0976496013457148e-07 +2.2044566820609663e-03 -7.8482556265430969e-01 
+1.2000000000000000e+00 -2.7645341502827121e-04 -1.6830206516255697e-07 +2.2355209064710978e-03 -7.8483395638454212e-01 
+1.3000000000000000e+00 -2.7645341231487242e-04 -2.2767258850027295e-07 +2.2665888721362286e-03 -7.8484111744583840e-01 
+1.4000000000000001e+00 -2.7645340882752800e-04 -2.8787556248316946e-07 +2.2976602877576692e-03 -7.8484714296064140e-01 
+1.5000000000000002e+00 -2.7645340455399487e-04 -3.4891001965710697e-07 +2.3287348619596016e-03 -7.8485213004119503e-01 
+1.6000000000000003e+00 -2.7645339948203064e-04 -4.1077499239231275e-07 +2.3598123033970603e-03 -7.8485617580906997e-01 
+1.7000000000000004e+00 -2.7645339359939241e-04 -4.7346951302396833e-07 +2.3908923207019411e-03 -7.8485937738845424e-01 
+1.8000000000000005e+00 -2.7645338689383735e-04 -5.3699261437452811e-07 +2.4219746225215642e-03 -7.8486183187886505e-01 
+1.9000000000000006e+00 -2.7645337935312239e-04 -6.0134332843730343e-07 +2.4530589174955385e-03 -7.8486363642174994e-01 
+2.0000000000000004e+00 -2.7645337096500466e-04 -6.6652068786246405e-07 +2.4841449142634720e-03 -7.8486488812673771e-01 
+2.1000000000000005e+00 -2.7645336171724060e-04 -7.3252372485817943e-07 +2.5152323214418359e-03 -7.8486568412612523e-01 
+2.2000000000000006e+00 -2.7645335159758727e-04 -7.9935147193978534e-07 +2.5463208476856633e-03 -7.8486612153581825e-01 
+2.3000000000000007e+00 -2.7645334059380096e-04 -8.6700296153149397e-07 +2.5774102016037125e-03 -7.8486629747922121e-01 
