# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] 
+0.0000000000000000e+00 +5.9681958376129839e-05 +2.7925485073793884e-05 -5.9717015619351380e-04 -1.7343653224919889e-03 
+1.0000000000000001e-01 +5.9738962968362971e-05 +2.7958459808585988e-05 -5.9840773898569221e-04 -1.4937571304914406e-03 
+2.0000000000000001e-01 +5.9796014471414309e-05 +2.7991947609722068e-05 -5.9894893329784436e-04 -1.2201623831502501e-03 
+3.0000000000000004e-01 +5.9853112951481052e-05 +2.8027208164489973e-05 -5.9876480529501318e-04 -9.5286349412991437e-04 
+4.0000000000000002e-01 +5.9910259045943890e-05 +2.8065194662708946e-05 -5.9785438318844743e-04 -7.1836277652277116e-04 
+5.0000000000000000e-01 +5.9967454568759916e-05 +2.8106501514712607e-05 -5.9631567151836938e-04 -5.3990088900433050e-04 
+5.9999999999999998e-01 +6.0024702157312884e-05 +2.8151359183244971e-05 -5.9432076802922633e-04 -4.3911472898602275e-04 
+6.9999999999999996e-01 +6.0082004504575205e-05 +2.8199613072406246e-05 -5.9203954393724078e-04 -4.2652734247557948e-04 
+7.9999999999999993e-01 +6.0139363938939838e-05 +2.8250666800192643e-05 -5.8962503039372224e-04 -4.9619161790661801e-04 
+8.9999999999999991e-01 +6.0196782609071635e-05 +2.8303768881697375e-05 -5.8722274619688530e-04 -6.3552353865029020e-04 
+9.9999999999999989e-01 +6.0254262551664284e-05 +2.8358113253486340e-05 -5.8497251292401436e-04 -8.2830339121216169e-04 
+1.0999999999999999e+00 +6.0311805507450603e-05 +2.8412817544362373e-05 -5.8299824026800313e-04 -1.0535525610305266e-03 
+1.2000000000000000e+00 +6.0369412852984246e-05 +2.8466975811140145e-05 -5.8140353401487906e-04 -1.2880312127025637e-03 
+1.3000000000000000e+00 +6.0427086129381279e-05 +2.8519602808120863e-05 -5.8030079243806857e-04 -1.5036032712413439e-03 
+1.4000000000000001e+00 +6.0484826564581895e-05 +2.8569970715010049e-05 -5.7979024378608491e-04 -1.6824193985513340e-03 
+1.5000000000000002e+00 +6.0542634094097715e-05 +2.8617899119072436e-05 -5.7988302425557975e-04 -1.8219282805962311e-03 
+1.6000000000000003e+00 +6.0600507881626209e-05 +2.8663555734319362e-05 -5.8052353022685634e-04 -1.9222485994427937e-03 
+1.7000000000000004e+00 +6.0658446975761262e-05 +2.8707444359918332e-05 -5.8165500786436686e-04 -1.9924424970638546e-03 
+1.8000000000000005e+00 +6.0716450445594330e-05 +2.8750250787471655e-05 -5.8322698850923091e-04 -2.0481329970539427e-03 
+1.9000000000000006e+00 +6.0774517187570295e-05 +2.8792637374655999e-05 -5.8517611484376999e-04 -2.1056699038715177e-03 
+2.0000000000000004e+00 +6.0832645903375093e-05 +2.8835183013571844e-05 -5.8742943555478017e-04 -2.1787655087756094e-03 
+2.1000000000000005e+00 +6.0890835309103863e-05 +2.8878478256043824e-05 -5.8991449369094737e-04 -2.2827325576065048e-03 
+2.2000000000000006e+00 +6.0949084270724427e-05 +2.8923135705012878e-05 -5.9256674079933159e-04 -2.4349399457065765e-03 
+2.3000000000000007e+00 +6.1007391206600724e-05 +2.8969919493108413e-05 -5.9529696892444929e-04 -2.6609074418982833e-03 
+2.4000000000000008e+00 +6.1065754529289660e-05 +2.9019433212090506e-05 -5.9800969625630417e-04 -2.9800072418383256e-03 
+2.5000000000000009e+00 +6.1124173877434321e-05 +2.9071545803346973e-05 -6.0066583743889612e-04 -3.3804659047144909e-03 
+2.6000000000000010e+00 +6.1182649378335851e-05 +2.9125744059690037e-05 -6.0325037488865836e-04 -3.8376528050401842e-03 
+2.7000000000000011e+00 +6.1241181275574540e-05 +2.9181207638108348e-05 -6.0575037017712870e-04 -4.3193077569745990e-03 
+2.8000000000000012e+00 +6.1299770039025014e-05 +2.9237164022225182e-05 -6.0814747813317342e-04 -4.7974635324700291e-03 
+2.9000000000000012e+00 +6.1358416269166778e-05 +2.9292904698780663e-05 -6.1042885441000227e-04 -5.2456075221637803e-03 
+3.0000000000000013e+00 +6.1417120543635280e-05 +2.9347675523915755e-05 -6.1258264705678573e-04 -5.6344677354147376e-03 
+3.1000000000000014e+00 +6.1475883383910594e-05 +2.9400686857171382e-05 -6.1459579094952832e-04 -5.9326096543153460e-03 
+3.2000000000000015e+00 +6.1534705144355596e-05 +2.9451125837066017e-05 -6.1644784881921826e-04 -6.1070727152086925e-03 
+3.3000000000000016e+00 +6.1593586392706247e-05 +2.9498090910872066e-05 -6.1813190916210352e-04 -6.1203407523428652e-03 
+3.4000000000000017e+00 +6.1652527729657810e-05 +2.9540778733187728e-05 -6.1964864787054767e-04 -5.9389432765753957e-03 
+3.5000000000000018e+00 +6.1711528846107483e-05 +2.9579018605750173e-05 -6.2096933143191411e-04 -5.5593437963482777e-03 
+3.6000000000000019e+00 +6.1770589089495391e-05 +2.9613069664930511e-05 -6.2206870666514278e-04 -4.9982703499505815e-03 
+3.7000000000000020e+00 +6.1829707679255386e-05 +2.9643515479116420e-05 -6.2292152026287957e-04 -4.2811259132851838e-03 
+3.8000000000000020e+00 +6.1888883646884466e-05 +2.9670949478069419e-05 -6.2351123150125674e-04 -3.4303072645751769e-03 
+3.9000000000000021e+00 +6.1948116146246616e-05 +2.9696027578964291e-05 -6.2382879725907830e-04 -2.4716143893609675e-03 
+4.0000000000000018e+00 +6.2007404824329309e-05 +2.9719701656351257e-05 -6.2388515664419969e-04 -1.4446263204016467e-03 
+4.1000000000000014e+00 +6.2066749725218497e-05 +2.9743063807181526e-05 -6.2370986087682031e-04 -3.9560129182243908e-04 
+4.2000000000000011e+00 +6.2126151271406433e-05 +2.9767244814111682e-05 -6.2335109135537808e-04 +6.2733866362761517e-04 
+4.3000000000000007e+00 +6.2185610085356517e-05 +2.9793376799533352e-05 -6.2286569263052575e-04 +1.5760243809383883e-03 
+4.4000000000000004e+00 +6.2245126867629301e-05 +2.9822545346463124e-05 -6.2231131542815404e-04 +2.4044867542002760e-03 
+4.5000000000000000e+00 +6.2304702580614460e-05 +2.9855641921544970e-05 -6.2175208410146087e-04 +3.0757967636233334e-03 
+4.5999999999999996e+00 +6.2364338534744970e-05 +2.9893177257264866e-05 -6.2125580482793436e-04 +3.5688875984520281e-03 
+4.6999999999999993e+00 +6.2424036217475048e-05 +2.9935299227187720e-05 -6.2089779319096476e-04 +3.8735863707831030e-03 
+4.7999999999999989e+00 +6.2483797089652764e-05 +2.9981977122369311e-05 -6.2074674899979267e-04 +3.9839135403207130e-03 
+4.8999999999999986e+00 +6.2543622240836345e-05 +3.0032940832064887e-05 -6.2085563662421950e-04 +3.9039240403471384e-03 
+4.9999999999999982e+00 +6.2603512003927086e-05 +3.0087484917166756e-05 -6.2124529290102037e-04 +3.6573378035877954e-03 
+5.0999999999999979e+00 +6.2663466167937347e-05 +3.0144721564566376e-05 -6.2191019216729557e-04 +3.2761911105935308e-03 
+5.1999999999999975e+00 +6.2723483956504526e-05 +3.0203718830347539e-05 -6.2281542503148676e-04 +2.7943545123556767e-03 
+5.2999999999999972e+00 +6.2783564287522103e-05 +3.0263534562813937e-05 -6.2391083333980502e-04 +2.2459029026064528e-03 
+5.3999999999999968e+00 +6.2843706242795129e-05 +3.0323165650653087e-05 -6.2515662232186231e-04 +1.6674480914027354e-03 
+5.4999999999999964e+00 +6.2903909174562951e-05 +3.0381445369943693e-05 -6.2652275111763273e-04 +1.1041767731189353e-03 
+5.5999999999999961e+00 +6.2964172189801021e-05 +3.0437361796934263e-05 -6.2795701845553198e-04 +5.9998802365743493e-04 
+5.6999999999999957e+00 +6.3024494245650454e-05 +3.0490290148362003e-05 -6.2938325490703338e-04 +1.8859793519960470e-04 
+5.7999999999999954e+00 +6.3084874532722899e-05 +3.0539966449289934e-05 -6.3072655200429174e-04 -1.0707537610070904e-04 
+5.8999999999999950e+00 +6.3145312773285617e-05 +3.0586489756396803e-05 -6.3193459553086227e-04 -2.7695730059733428e-04 
+5.9999999999999947e+00 +6.3205809345092981e-05 +3.0630334812066950e-05 -6.3298348086556486e-04 -3.2710529195250433e-04 
+6.0999999999999943e+00 +6.3266365016421345e-05 +3.0672113462834113e-05 -6.3386695831180282e-04 -2.6953932483131604e-04 
+6.1999999999999940e+00 +6.3326981056516159e-05 +3.0712467426526149e-05 -6.3460432067636587e-04 -1.1726363119011015e-04 
+6.2999999999999936e+00 +6.3387659027218710e-05 +3.0752055634326017e-05 -6.3522923537768583e-04 +1.1633622224774592e-04 
+6.3999999999999932e+00 +6.3448400190400871e-05 +3.0791625819413859e-05 -6.3575738759578504e-04 +4.1414907669719308e-04 
+6.4999999999999929e+00 +6.3509205478127546e-05 +3.0832137303537537e-05 -6.3619559331144391e-04 +7.4761837081563842e-04 
+6.5999999999999925e+00 +6.3570076011290865e-05 +3.0874622777516063e-05 -6.3659371377267169e-04 +1.0751228910580741e-03 
+6.6999999999999922e+00 +6.3631013004261826e-05 +3.0919757186287154e-05 -6.3703453588374599e-04 +1.3613683659505712e-03 
+6.7999999999999918e+00 +6.3692017400852473e-05 +3.0967715420760357e-05 -6.3759784410987971e-04 +1.5855081355114016e-03 
+6.8999999999999915e+00 +6.3753089622316781e-05 +3.1018276196043548e-05 -6.3833986679844490e-04 +1.7398004529905042e-03 
+6.9999999999999911e+00 +6.3814229708965549e-05 +3.1071000428312680e-05 -6.3929893321030152e-04 +1.8252520217201446e-03 
+7.0999999999999908e+00 +6.3875437465635881e-05 +3.1125359469237943e-05 -6.4050321840415983e-04 +1.8469362578715383e-03 
+7.1999999999999904e+00 +6.3936712215981564e-05 +3.1180798702892889e-05 -6.4195580614790672e-04 +1.8110592917707615e-03 
+7.2999999999999901e+00 +6.3998052699230470e-05 +3.1236788724337426e-05 -6.4362879799569213e-04 +1.7225395248006887e-03 
+7.3999999999999897e+00 +6.4059457415853801e-05 +3.1292860789871678e-05 -6.4548291147379754e-04 +1.5833186894300343e-03 
+7.4999999999999893e+00 +6.4120924932432608e-05 +3.1348448780338194e-05 -6.4747529561567105e-04 +1.4015719836894139e-03 
+7.5999999999999890e+00 +6.4182453554892567e-05 +3.1402878512162927e-05 -6.4951218026299364e-04 +1.2011281061922593e-03 
+7.6999999999999886e+00 +6.4244041431249995e-05 +3.1455772646783240e-05 -6.5146938609380667e-04 +1.0021870135127847e-03 
+7.7999999999999883e+00 +6.4305686820630251e-05 +3.1507183977701538e-05 -6.5323208217555684e-04 +8.1420889237210424e-04 
+7.8999999999999879e+00 +6.4367388270135948e-05 +3.1557393162570720e-05 -6.5470442339724509e-04 +6.4042950436938955e-04 
+7.9999999999999876e+00 +6.4429144459646925e-05 +3.1606740271425446e-05 -6.5579905272509294e-04 +4.8226947620185037e-04 
+8.0999999999999872e+00 +6.4490954244645637e-05 +3.1655621892286116e-05 -6.5643683339269648e-04 +3.3820267923354420e-04 
+8.1999999999999869e+00 +6.4552817135672699e-05 +3.1704467515984876e-05 -6.5657423500103864e-04 +2.0483884561130924e-04 
+8.2999999999999865e+00 +6.4614733776291575e-05 +3.1753648394959373e-05 -6.5623000378237605e-04 +8.1232906244797017e-05 
+8.3999999999999861e+00 +6.4676705783243740e-05 +3.1803291988565149e-05 -6.5547457521189468e-04 -2.2343704114960770e-05 
+8.4999999999999858e+00 +6.4738735080503373e-05 +3.1853475287852838e-05 -6.5439921060525899e-04 -9.4869956684166405e-05 
+8.5999999999999854e+00 +6.4800823926249807e-05 +3.1904371683350572e-05 -6.5314693717409696e-04 -1.3965701475941158e-04 
+8.6999999999999851e+00 +6.4862974792136702e-05 +3.1956004418672470e-05 -6.5188422050189835e-04 -1.6107993800630011e-04 
+8.7999999999999847e+00 +6.4925190185703184e-05 +3.2008125231073581e-05 -6.5075841920720224e-04 -1.5861581319953012e-04 
+8.8999999999999844e+00 +6.4987472523530401e-05 +3.2060465182016857e-05 -6.4989446092891020e-04 -1.3525430694519972e-04 
+8.9999999999999840e+00 +6.5049824219930784e-05 +3.2112812958653344e-05 -6.4941020631053463e-04 -9.7982094783492441e-05 
+9.0999999999999837e+00 +6.5112247460685118e-05 +3.2164900467442709e-05 -6.4941152958356073e-04 -5.0599567273817934e-05 
+9.1999999999999833e+00 +6.5174743655006481e-05 +3.2216390506529258e-05 -6.4996176428181417e-04 +6.8829279598690559e-06 
+9.2999999999999829e+00 +6.5237312844052461e-05 +3.2266994015453233e-05 -6.5104836369987717e-04 +7.2711821816025322e-05 
+9.3999999999999826e+00 +6.5299953820356613e-05 +3.2316717501872329e-05 -6.5259172662485718e-04 +1.3170186990329533e-04 
+9.4999999999999822e+00 +6.5362664940335068e-05 +3.2365646129371109e-05 -6.5448524648891533e-04 +1.6647977724205872e-04 
+9.5999999999999819e+00 +6.5425444311051971e-05 +3.2413667724337170e-05 -6.5657207809384857e-04 +1.7826508759032506e-04 
+9.6999999999999815e+00 +6.5488289922360960e-05 +3.2460609047331209e-05 -6.5867330124545244e-04 +1.7816668732847479e-04 
+9.7999999999999812e+00 +6.5551199717967041e-05 +3.2506529937204054e-05 -6.6063771862098493e-04 +1.7378751945875158e-04 
+9.8999999999999808e+00 +6.5614171729578107e-05 +3.2551520543919229e-05 -6.6234135851696492e-04 +1.7646218561632825e-04 
+9.9999999999999805e+00 +6.5677203991382395e-05 +3.2595591291256547e-05 -6.6367051124512338e-04 +2.0305201812378622e-04 
+1.0099999999999980e+01 +6.5740294912039658e-05 +3.2638847792667390e-05 -6.6453235874938004e-04 +2.6543851673551256e-04 
+1.0199999999999980e+01 +6.5803443724183800e-05 +3.2681536690207095e-05 -6.6487948092668427e-04 +3.6833191864981725e-04 
+1.0299999999999979e+01 +6.5866650745840537e-05 +3.2723891147927666e-05 -6.6472545615021213e-04 +5.1657585870470784e-04 
+1.0399999999999979e+01 +6.5929917254335459e-05 +3.2765938360104289e-05 -6.6413632061508002e-04 +7.2425803771659003e-04 
+1.0499999999999979e+01 +6.5993244738503731e-05 +3.2807738534825105e-05 -6.6319427615146322e-04 +1.0029462872774883e-03 
+1.0599999999999978e+01 +6.6056634663017391e-05 +3.2849689566828290e-05 -6.6201729525061138e-04 +1.3406148054184444e-03 
+1.0699999999999978e+01 +6.6120088464494245e-05 +3.2892382781201765e-05 -6.6075170559889832e-04 +1.7091696830111715e-03 
+1.0799999999999978e+01 +6.6183607573613368e-05 +3.2936177111073452e-05 -6.5952768638512455e-04 +2.0838573926450607e-03 
+1.0899999999999977e+01 +6.6247193340139733e-05 +3.2981345024852982e-05 -6.5845589507340467e-04 +2.4396180873327879e-03 
+1.0999999999999977e+01 +6.6310847087270344e-05 +3.3028213577111295e-05 -6.5763845125011789e-04 +2.7472509830149452e-03 
+1.1099999999999977e+01 +6.6374569701874988e-05 +3.3077005661192444e-05 -6.5715273656733754e-04 +2.9824613298233605e-03 
+1.1199999999999976e+01 +6.6438361241521020e-05 +3.3127765123511738e-05 -6.5703022977276284e-04 +3.1294178099895362e-03 
+1.1299999999999976e+01 +6.6502221019766299e-05 +3.3180538066419156e-05 -6.5725979342415081e-04 +3.1721622226232420e-03 
+1.1399999999999975e+01 +6.6566147699387672e-05 +3.3235506779513444e-05 -6.5779364036042858e-04 +3.0882535661980893e-03 
+1.1499999999999975e+01 +6.6630139935435503e-05 +3.3292745966647434e-05 -6.5857790199830052e-04 +2.8603505558119041e-03 
+1.1599999999999975e+01 +6.6694196671428325e-05 +3.3351913278750985e-05 -6.5954182503337379e-04 +2.4957464157231023e-03 
+1.1699999999999974e+01 +6.6758316989593225e-05 +3.3412404957215199e-05 -6.6058387793912761e-04 +2.0198995527856965e-03 
+1.1799999999999974e+01 +6.6822500038896931e-05 +3.3473822769616492e-05 -6.6160078843660976e-04 +1.4553790557793153e-03 
+1.1899999999999974e+01 +6.6886745112982568e-05 +3.3535878067862889e-05 -6.6250874920556176e-04 +8.2474820597990917e-04 
+1.1999999999999973e+01 +6.6951051608703398e-05 +3.3598237901940693e-05 -6.6324046307283219e-04 +1.5589142041125674e-04 
+1.2099999999999973e+01 +6.7015419168287477e-05 +3.3660620467322269e-05 -6.6374281075928636e-04 -5.2533720859768683e-04 
+1.2199999999999973e+01 +6.7079847993329919e-05 +3.3722855151506532e-05 -6.6399336629753851e-04 -1.1981137398302021e-03 
+1.2299999999999972e+01 +6.7144339010672446e-05 +3.3784759354421818e-05 -6.6401062249310863e-04 -1.8408253795453577e-03 
+1.2399999999999972e+01 +6.7208894023619253e-05 +3.3845956130647562e-05 -6.6386118516872613e-04 -2.4224483854146561e-03 
+1.2499999999999972e+01 +6.7273515047572169e-05 +3.3906105332101674e-05 -6.6362691395920200e-04 -2.9133688533728567e-03 
+1.2599999999999971e+01 +6.7338203696321012e-05 +3.3965263025943281e-05 -6.6338939718892684e-04 -3.3050538926957911e-03 
+1.2699999999999971e+01 +6.7402961380036306e-05 +3.4023753682395454e-05 -6.6324996579023065e-04 -3.6055010734712418e-03 
+1.2799999999999971e+01 +6.7467789403482614e-05 +3.4081676562894170e-05 -6.6331029332175183e-04 -3.8192078380299729e-03 
+1.2899999999999970e+01 +6.7532688764827605e-05 +3.4138836987203054e-05 -6.6364722261416187e-04 -3.9438163090153014e-03 
+1.2999999999999970e+01 +6.7597660190119773e-05 +3.4194968914568015e-05 -6.6431252323946078e-04 -3.9782349398051597e-03 
+1.3099999999999969e+01 +6.7662704370923964e-05 +3.4249783717625868e-05 -6.6535687129183120e-04 -3.9206431908748382e-03 
+1.3199999999999969e+01 +6.7727821920034878e-05 +3.4303020043138847e-05 -6.6682760026812767e-04 -3.7704654280946480e-03 
+1.3299999999999969e+01 +6.7793012450682812e-05 +3.4354447813926820e-05 -6.6871721851983687e-04 -3.5285557247466751e-03 
+1.3399999999999968e+01 +6.7858274149245541e-05 +3.4404136101339350e-05 -6.7094183434945724e-04 -3.2098688936764421e-03 
+1.3499999999999968e+01 +6.7923604494209483e-05 +3.4452276231710575e-05 -6.7337853176831252e-04 -2.8352609324575457e-03 
+1.3599999999999968e+01 +6.7989001374874338e-05 +3.4498739866764121e-05 -6.7591868306215075e-04 -2.4102713229814578e-03 
+1.3699999999999967e+01 +6.8054462923057373e-05 +3.4543179352913554e-05 -6.7845170556885795e-04 -1.9287186853788596e-03 
+1.3799999999999967e+01 +6.8119987385287942e-05 +3.4585431682448151e-05 -6.8086912731937289e-04 -1.3865431524787213e-03 
+1.3899999999999967e+01 +6.8185573372985618e-05 +3.4625781511459491e-05 -6.8307735282160085e-04 -7.9473064121328527e-04 
+1.3999999999999966e+01 +6.8251219928981677e-05 +3.4664814741355821e-05 -6.8499718899722685e-04 -1.7601860022321090e-04 
+1.4099999999999966e+01 +6.8316926301858894e-05 +3.4703245552164359e-05 -6.8655567499540380e-04 +4.4142094217788864e-04 
+1.4199999999999966e+01 +6.8382691781522715e-05 +3.4741733385931613e-05 -6.8768017785659412e-04 +1.0323112021168614e-03 
+1.4299999999999965e+01 +6.8448517050764487e-05 +3.4780893898567277e-05 -6.8837420237783200e-04 +1.5737505519546990e-03 
+1.4399999999999965e+01 +6.8514404472363129e-05 +3.4821047865127109e-05 -6.8873121493391034e-04 +2.0571023694481291e-03 
+1.4499999999999964e+01 +6.8580357284203292e-05 +3.4862338092823465e-05 -6.8889181769356169e-04 +2.4826684949027359e-03 
+1.4599999999999964e+01 +6.8646378194377826e-05 +3.4905239286401137e-05 -6.8896926625567722e-04 +2.8369442885764081e-03 
+1.4699999999999964e+01 +6.8712469539502916e-05 +3.4950482369409331e-05 -6.8906140384676282e-04 +3.0965762725141551e-03 
+1.4799999999999963e+01 +6.8778633516993460e-05 +3.4998801976384105e-05 -6.8926606181393094e-04 +3.2354651573591586e-03 
+1.4899999999999963e+01 +6.8844871969556449e-05 +3.5050591752468808e-05 -6.8967233063084432e-04 +3.2392218428791099e-03 
+1.4999999999999963e+01 +6.8911186077116028e-05 +3.5105826024284051e-05 -6.9034448709777408e-04 +3.1097493529451481e-03 
+1.5099999999999962e+01 +6.8977576288374796e-05 +3.5164105961610225e-05 -6.9131529850350042e-04 +2.8649522303606364e-03 
+1.5199999999999962e+01 +6.9044042426276805e-05 +3.5224900914208646e-05 -6.9258617419410914e-04 +2.5280090038343576e-03 
+1.5299999999999962e+01 +6.9110582746588432e-05 +3.5287672497082181e-05 -6.9407279074359192e-04 +2.1215560108218618e-03 
+1.5399999999999961e+01 +6.9177194185094970e-05 +3.5352009787145523e-05 -6.9561961312299689e-04 +1.6613001065592600e-03 
+1.5499999999999961e+01 +6.9243873306856858e-05 +3.5417529901306662e-05 -6.9705098104920124e-04 +1.1605439911089273e-03 
+1.5599999999999961e+01 +6.9310617386070733e-05 +3.5483465124981830e-05 -6.9823174658768729e-04 +6.4734095595205671e-04 
+1.5699999999999960e+01 +6.9377424132719366e-05 +3.5548859946837290e-05 -6.9906025038071480e-04 +1.5319024363595965e-04 
+1.5799999999999960e+01 +6.9444291373141090e-05 +3.5612713988800507e-05 -6.9944386145384923e-04 -2.8803698601331584e-04 
