# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] 
+0.0000000000000000e+00 -1.2525557785000368e-03 +2.1696241953694166e-06 +8.4412500199398041e-03 -3.5549770112377641e+00 
+1.0000000000000001e-01 -1.2525558039589528e-03 +1.9462301669748177e-06 +8.5817225480060901e-03 -3.5551057052117465e+00 
+2.0000000000000001e-01 -1.2525558265768357e-03 +1.7190120986196023e-06 +8.7222264127127594e-03 -3.5552239743926952e+00 
+3.0000000000000004e-01 -1.2525558462982320e-03 +1.4879743836178221e-06 +8.8627602941186469e-03 -3.5553322587035128e+00 
+4.0000000000000002e-01 -1.2525558630676885e-03 +1.2531214172545351e-06 +9.0033228722825875e-03 -3.5554309981605270e+00 
+5.0000000000000000e-01 -1.2525558768297508e-03 +1.0144575946402414e-06 +9.1439128271400098e-03 -3.5555206327849689e+00 
+5.9999999999999998e-01 -1.2525558875289659e-03 +7.7198731038532778e-07 +9.2845288388114528e-03 -3.5556016025565618e+00 
+6.9999999999999996e-01 -1.2525558951098790e-03 +5.2571495913446368e-07 +9.4251695872014964e-03 -3.5556743474686350e+00 
+7.9999999999999993e-01 -1.2525558995170364e-03 +2.7564493508086614e-07 +9.5658337523998258e-03 -3.5557393074904540e+00 
+8.9999999999999991e-01 -1.2525559006949826e-03 +2.1781633729810924e-08 +9.7065200143110208e-03 -3.5557969226589381e+00 
+9.9999999999999989e-01 -1.2525558985882652e-03 -2.3587055033514594e-07 +9.8472270530864693e-03 -3.5558476329600905e+00 
+1.0999999999999999e+00 -1.2525558931414274e-03 -4.9730722194355630e-07 +9.9879535485690504e-03 -3.5558918784154812e+00 
+1.2000000000000000e+00 -1.2525558842990156e-03 -7.6252398649738863e-07 +1.0128698180848449e-02 -3.5559300990149545e+00 
+1.3000000000000000e+00 -1.2525558720055739e-03 -1.0315164494909996e-06 +1.0269459629860098e-02 -3.5559627347483556e+00 
+1.4000000000000001e+00 -1.2525558562056472e-03 -1.3042802159172421e-06 +1.0410236575570279e-02 -3.5559902256250524e+00 
+1.5000000000000002e+00 -1.2525558368437809e-03 -1.5808108911448761e-06 +1.0551027698037825e-02 -3.5560130116415132e+00 
+1.6000000000000003e+00 -1.2525558138645194e-03 -1.8611040795420678e-06 +1.0691831677167321e-02 -3.5560315328482566e+00 
+1.7000000000000004e+00 -1.2525557872124079e-03 -2.1451553863807303e-06 +1.0832647193048448e-02 -3.5560462292407040e+00 
+1.8000000000000005e+00 -1.2525557568319880e-03 -2.4329604174900172e-06 +1.0973472925462387e-02 -3.5560575407933515e+00 
+1.9000000000000006e+00 -1.2525557226678058e-03 -2.7245147774335733e-06 +1.1114307554529673e-02 -3.5560659075448715e+00 
+2.0000000000000004e+00 -1.2525556846644051e-03 -3.0198140712455864e-06 +1.1255149760154888e-02 -3.5560717695070676e+00 
+2.1000000000000005e+00 -1.2525556427663285e-03 -3.3188539043538783e-06 +1.1395998222242612e-02 -3.5560755666830404e+00 
+2.2000000000000006e+00 -1.2525555969181213e-03 -3.6216298816067323e-06 +1.1536851620913382e-02 -3.5560777390915770e+00 
+2.3000000000000007e+00 -1.2525555470643253e-03 -3.9281376082562552e-06 +1.1677708635948376e-02 -3.5560787267378626e+00 
+2.4000000000000008e+00 -1.2525554931494842e-03 -4.2383726883116005e-06 +1.1818567947375578e-02 -3.5560789696964790e+00 
+2.5000000000000009e+00 -1.2525554351181720e-03 -4.5523307494397465e-06 +1.1959428241454784e-02 -3.5560789057815256e+00 
+2.6000000000000010e+00 -1.2525553729172008e-03 -4.8700089708790949e-06 +1.2100288670875394e-02 -3.5560788175431326e+00 
+2.7000000000000011e+00 -1.2525553064970970e-03 -5.1914071155702324e-06 +1.2241149162367326e-02 -3.5560787292622216e+00 
+2.8000000000000012e+00 -1.2525552358087411e-03 -5.5165251876139596e-06 +1.2382009716084838e-02 -3.5560786409982525e+00 
+2.9000000000000012e+00 -1.2525551608030131e-03 -5.8453631927065952e-06 +1.2522870332058776e-02 -3.5560785527301357e+00 
+3.0000000000000013e+00 -1.2525550814307884e-03 -6.1779211354714101e-06 +1.2663731010104040e-02 -3.5560784644810570e+00 
+3.1000000000000014e+00 -1.2525549976429484e-03 -6.5141990215212912e-06 +1.2804591750405731e-02 -3.5560783762320187e+00 
+3.2000000000000015e+00 -1.2525549093896425e-03 -6.8541973612815635e-06 +1.2945452401333353e-02 -3.5560782374706013e+00 
+3.3000000000000016e+00 -1.2525548166143455e-03 -7.1979213016966230e-06 +1.3086311420420658e-02 -3.5560775340264636e+00 
+3.4000000000000017e+00 -1.2525547192569415e-03 -7.5453784821733371e-06 +1.3227166517260447e-02 -3.5560755024529027e+00 
+3.5000000000000018e+00 -1.2525546172572808e-03 -7.8965765675720269e-06 +1.3368015394226489e-02 -3.5560713768215932e+00 
+3.6000000000000019e+00 -1.2525545105552113e-03 -8.2515232208955794e-06 +1.3508855753661703e-02 -3.5560643913098589e+00 
+3.7000000000000020e+00 -1.2525543990905823e-03 -8.6102261066463630e-06 +1.3649685297909008e-02 -3.5560537800064558e+00 
+3.8000000000000020e+00 -1.2525542828032421e-03 -8.9726928887864279e-06 +1.3790501729280473e-02 -3.5560387770322257e+00 
+3.9000000000000021e+00 -1.2525541616330406e-03 -9.3389312319617322e-06 +1.3931302750180719e-02 -3.5560186164734819e+00 
+4.0000000000000018e+00 -1.2525540355198246e-03 -9.7089487993915783e-06 +1.4072086062860110e-02 -3.5559925324789510e+00 
+4.1000000000000014e+00 -1.2525539044034438e-03 -1.0082753256065391e-05 +1.4212849369723272e-02 -3.5559597591217060e+00 
+4.2000000000000011e+00 -1.2525537682237461e-03 -1.0460352265012431e-05 +1.4353590373082269e-02 -3.5559195305563915e+00 
+4.3000000000000007e+00 -1.2525536269205797e-03 -1.0841753491302071e-05 +1.4494306775218320e-02 -3.5558710808459661e+00 
+4.4000000000000004e+00 -1.2525547965379891e-03 -1.2140925848179285e-05 +1.4909184653081838e-02 -3.4644175191846998e+00 
+4.5000000000000000e+00 -1.2525629216518447e-03 -1.8277763124351828e-05 +1.6774187546674594e-02 -2.8895694671842285e+00 
+4.5999999999999996e+00 -1.2525698653362244e-03 -1.9728991506700095e-05 +1.9428615870437829e-02 -2.3698610744921127e+00 
+4.6999999999999993e+00 -1.2525702265586550e-03 -1.3482678524317171e-05 +2.2318530772995563e-02 -2.1115690719578124e+00 
+4.7999999999999989e+00 -1.2525595237838883e-03 +2.3919397881178823e-06 +2.5110383241634764e-02 -2.2282820643174315e+00 
+4.8999999999999986e+00 -1.2525291413290449e-03 +3.0732931600099184e-05 +2.7230519633577362e-02 -2.8776636688763779e+00 
+4.9999999999999982e+00 -1.2524667993680629e-03 +6.9185872222045792e-05 +2.7821413863416817e-02 -3.9682450759762959e+00 
+5.0999999999999979e+00 -1.2523748956933187e-03 +1.0978464746439955e-04 +2.6938081875906274e-02 -5.1251281578111998e+00 
+5.1999999999999975e+00 -1.2522519693595575e-03 +1.4792152919782014e-04 +2.4508559276347333e-02 -6.1322498613882397e+00 
+5.2999999999999972e+00 -1.2520937489768371e-03 +1.7669544296930120e-04 +2.0344182359148488e-02 -6.6650702703985480e+00 
+5.3999999999999968e+00 -1.2518968815758294e-03 +1.8277970226993152e-04 +1.4650194548227415e-02 -6.1323965478813145e+00 
+5.4999999999999964e+00 -1.2516808216466349e-03 +1.7085480066352795e-04 +8.8277997918994114e-03 -4.8272976885692067e+00 
+5.5999999999999961e+00 -1.2514538652580978e-03 +1.4483369888460343e-04 +3.6763758870600465e-03 -3.0221511846888820e+00 
+5.6999999999999957e+00 -1.2512251582410794e-03 +1.0944080481529780e-04 +1.6915444144628350e-04 -1.0585518597755161e+00 
+5.7999999999999954e+00 -1.2510229748731215e-03 +9.3341930994005819e-05 +1.7386630877613536e-03 -8.3225265064601106e-01 
+5.8999999999999950e+00 -1.2508236538939770e-03 +7.9979504243830665e-05 +3.4453623042800413e-03 -6.9545597663055281e-01 
+5.9999999999999947e+00 -1.2506263429996440e-03 +6.8639002199159858e-05 +5.1024232799113936e-03 -5.8465990829768977e-01 
+6.0999999999999943e+00 -1.2504310850966654e-03 +5.9231082749636363e-05 +6.7103631295962821e-03 -4.9886990595630554e-01 
+6.1999999999999940e+00 -1.2502379181958479e-03 +5.1666518415841711e-05 +8.2695215869708853e-03 -4.3709105094625944e-01 
+6.2999999999999936e+00 -1.2500468754182757e-03 +4.5856208472810273e-05 +9.7800610250057176e-03 -3.9832805222090079e-01 
+6.3999999999999932e+00 -1.2498579850017046e-03 +4.1711191117748473e-05 +1.1241966487843391e-02 -3.8158525713389307e-01 
+6.4999999999999929e+00 -1.2496712703073355e-03 +3.9142655677942332e-05 +1.2655045734822382e-02 -3.8586666615927417e-01 
+6.5999999999999925e+00 -1.2494867498269726e-03 +3.8061954855592029e-05 +1.4018929296008020e-02 -4.1017595142945323e-01 
+6.6999999999999922e+00 -1.2493044371905545e-03 +3.8380617013494342e-05 +1.5333070539292467e-02 -4.5351647926123040e-01 
+6.7999999999999918e+00 -1.2491243411740741e-03 +4.0010358497065575e-05 +1.6596745749711497e-02 -5.1489133643521590e-01 
+6.8999999999999915e+00 -1.2489464657078732e-03 +4.2863095999436298e-05 +1.7809054219898340e-02 -5.9330336061288425e-01 
+6.9999999999999911e+00 -1.2487708098853191e-03 +4.6850958961959564e-05 +1.8968918352692637e-02 -6.8775517445017875e-01 
+7.0999999999999908e+00 -1.2485973679718645e-03 +5.1886302015863305e-05 +2.0075083775380052e-02 -7.9724922373786189e-01 
+7.1999999999999904e+00 -1.2484261294144815e-03 +5.7881717462869541e-05 +2.1126119465315771e-02 -9.2078781941555343e-01 
+7.2999999999999901e+00 -1.2482570788514790e-03 +6.4750047794267881e-05 +2.2120417887672227e-02 -1.0573731834998943e+00 
+7.3999999999999897e+00 -1.2480901961227095e-03 +7.2404398249188272e-05 +2.3056195145187721e-02 -1.2060074988968614e+00 
+7.4999999999999893e+00 -1.2479254562801348e-03 +8.0758149412629880e-05 +2.3931491138342521e-02 -1.3656929631550496e+00 
+7.5999999999999890e+00 -1.2477628295987989e-03 +8.9724969852885349e-05 +2.4744169739170926e-02 -1.5354318461578342e+00 
+7.6999999999999886e+00 -1.2476022815881575e-03 +9.9218828794966980e-05 +2.5491918974976310e-02 -1.7142265515546584e+00 
+7.7999999999999883e+00 -1.2474437730038040e-03 +1.0915400883758265e-04 +2.6172251225003478e-02 -1.9010796823187341e+00 
+7.8999999999999879e+00 -1.2472872598595687e-03 +1.1944511870723921e-04 +2.6782503428217152e-02 -2.0949941101335092e+00 
+7.9999999999999876e+00 -1.2471326934399970e-03 +1.3000710605044617e-04 +2.7319837302988814e-02 -2.2949730486032736e+00 
+8.0999999999999872e+00 -1.2469800203132183e-03 +1.4075527026710940e-04 +2.7781239578846095e-02 -2.5000201305229348e+00 
+8.1999999999999869e+00 -1.2468291823441795e-03 +1.5160527537977887e-04 +2.8163522238958183e-02 -2.7091394888206488e+00 
+8.2999999999999865e+00 -1.2466801167082733e-03 +1.6247316294615993e-04 +2.8463322775547584e-02 -2.9213358417228279e+00 
+8.3999999999999861e+00 -1.2465327559053380e-03 +1.7327536500879697e-04 +2.8677104456192166e-02 -3.1356145816076739e+00 
+8.4999999999999858e+00 -1.2463870338113600e-03 +1.8392452450212904e-04 +2.8802414376486691e-02 -3.3505626097502210e+00 
+8.5999999999999854e+00 -1.2462429210208686e-03 +1.9430559511587721e-04 +2.8845409267691136e-02 -3.5618908790450012e+00 
+8.6999999999999851e+00 -1.2461003938324872e-03 +2.0431099456422796e-04 +2.8818028625088858e-02 -3.7644947352633760e+00 
+8.7999999999999847e+00 -1.2459594006191609e-03 +2.1386887224127748e-04 +2.8734116314724698e-02 -3.9543443106109115e+00 
+8.8999999999999844e+00 -1.2458198390794312e-03 +2.2295140218482045e-04 +2.8606580228491080e-02 -4.1292341360664269e+00 
+8.9999999999999840e+00 -1.2456815485606546e-03 +2.3156511399812998e-04 +2.8445866348627880e-02 -4.2885078484350165e+00 
+9.0999999999999837e+00 -1.2455443159033359e-03 +2.3973576937927259e-04 +2.8259732272257317e-02 -4.4324045581008997e+00 
+9.1999999999999833e+00 -1.2454078855921437e-03 +2.4749628144245744e-04 +2.8053576411127587e-02 -4.5615044683952615e+00 
+9.2999999999999829e+00 -1.2452719728445463e-03 +2.5487791496211007e-04 +2.7831103841047474e-02 -4.6763124958414375e+00 
+9.3999999999999826e+00 -1.2451362779697249e-03 +2.6190726116483880e-04 +2.7595153302763513e-02 -4.7771150677435532e+00 
+9.4999999999999822e+00 -1.2450004964012012e-03 +2.6860781094893406e-04 +2.7348254979881199e-02 -4.8640556241936590e+00 
+9.5999999999999819e+00 -1.2448643234516932e-03 +2.7500169925878567e-04 +2.7092867858993466e-02 -4.9372149812294497e+00 
+9.6999999999999815e+00 -1.2447274557480504e-03 +2.8111051239913646e-04 +2.6831461827121244e-02 -4.9966523213756924e+00 
+9.7999999999999812e+00 -1.2445895909413791e-03 +2.8695433655844828e-04 +2.6566702307773919e-02 -5.0424004589322822e+00 
+9.8999999999999808e+00 -1.2444504333635584e-03 +2.9255610506002494e-04 +2.6302528376800128e-02 -5.0748585604074297e+00 
+9.9999999999999805e+00 -1.2443096929185054e-03 +2.9794104231768687e-04 +2.6043870551438971e-02 -5.0947151653103706e+00 
+1.0099999999999980e+01 -1.2441670809776031e-03 +3.0313381960609705e-04 +2.5795800028002941e-02 -5.1026646023713678e+00 
