# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] 
+0.0000000000000000e+00 -6.6293315933983190e-04 +1.1483048078476899e-06 +4.4676529704642766e-03 -1.8815227089275719e+00 
+1.0000000000000001e-01 -6.6293317281432935e-04 +1.0300703056124436e-06 +4.5420000761240255e-03 -1.8815908220632287e+00 
+2.0000000000000001e-01 -6.6293318478516893e-04 +9.0981187493577631e-07 +4.6163637671676819e-03 -1.8816534177140953e+00 
+3.0000000000000004e-01 -6.6293319522300182e-04 +7.8753184195540072e-07 +4.6907433449997647e-03 -1.8817107287554231e+00 
+4.0000000000000002e-01 -6.6293320409847780e-04 +6.6323253196429006e-07 +4.7651381109785132e-03 -1.8817629880331748e+00 
+5.0000000000000000e-01 -6.6293321138224731e-04 +5.3691627154202945e-07 +4.8395473664930204e-03 -1.8818104284452628e+00 
+5.9999999999999998e-01 -6.6293321704496066e-04 +4.0858538636471219e-07 +4.9139704129169534e-03 -1.8818532828524686e+00 
+6.9999999999999996e-01 -6.6293322105726808e-04 +2.7824220240310349e-07 +4.9884065516394033e-03 -1.8818917841258551e+00 
+7.9999999999999993e-01 -6.6293322338981933e-04 +1.4588904583139476e-07 +5.0628550840186113e-03 -1.8819261651537542e+00 
+8.9999999999999991e-01 -6.6293322401326474e-04 +1.1528242876073940e-08 +5.1373153114590963e-03 -1.8819566588194323e+00 
+9.9999999999999989e-01 -6.6293322289825388e-04 -1.2483788092403998e-07 +5.2117865352882473e-03 -1.8819834979761751e+00 
+1.0999999999999999e+00 -6.6293322001543663e-04 -2.6320699924854769e-07 +5.2862680568797320e-03 -1.8820069155177164e+00 
+1.2000000000000000e+00 -6.6293321533546278e-04 -4.0357678613561755e-07 +5.3607591776226428e-03 -1.8820271443172130e+00 
+1.3000000000000000e+00 -6.6293320882898198e-04 -5.4594491592750470e-07 +5.4352591988752197e-03 -1.8820444172361459e+00 
+1.4000000000000001e+00 -6.6293320046664382e-04 -6.9030906203919849e-07 +5.5097674220111305e-03 -1.8820589671783559e+00 
+1.5000000000000002e+00 -6.6293319021909795e-04 -8.3666689860118816e-07 +5.5842831483731911e-03 -1.8820710270170045e+00 
