# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] 
+0.0000000000000000e+00 -2.6983682383539641e-04 +4.6739994486001852e-07 +1.8184899496441326e-03 -7.6584510006424400e-01 
+1.0000000000000001e-01 -2.6983682931998500e-04 +4.1927436499026550e-07 +1.8487517532673802e-03 -7.6587278371830347e-01 
+2.0000000000000001e-01 -2.6983683419253717e-04 +3.7032492590271141e-07 +1.8790203365978996e-03 -7.6589822154677945e-01 
+3.0000000000000004e-01 -2.6983683844110455e-04 +3.2055257212083471e-07 +1.9092954152822323e-03 -7.6592150834462680e-01 
+4.0000000000000002e-01 -2.6983684205373904e-04 +2.6995824789356148e-07 +1.9395767049862015e-03 -7.6594273889180897e-01 
+5.0000000000000000e-01 -2.6983684501849216e-04 +2.1854289741888794e-07 +1.9698639213447796e-03 -7.6596200796759062e-01 
+5.9999999999999998e-01 -2.6983684732341501e-04 +1.6630746514721112e-07 +2.0001567799929399e-03 -7.6597941036422723e-01 
+6.9999999999999996e-01 -2.6983684895655916e-04 +1.1325289533687566e-07 +2.0304549965887921e-03 -7.6599504086307613e-01 
+7.9999999999999993e-01 -2.6983684990597564e-04 +5.9380132367624338e-08 +2.0607582867634530e-03 -7.6600899425491065e-01 
+8.9999999999999991e-01 -2.6983685015971587e-04 +4.6901204677619183e-09 +2.0910663661634641e-03 -7.6602136532091480e-01 
+9.9999999999999989e-01 -2.6983684970583057e-04 -5.0816195964579093e-08 +2.1213789504160854e-03 -7.6603224885116472e-01 
+1.0999999999999999e+00 -2.6983684853237075e-04 -1.0713787245182866e-07 +2.1516957551562894e-03 -7.6604173964236211e-01 
+1.2000000000000000e+00 -2.6983684662738714e-04 -1.6427396472931425e-07 +2.1820164960074805e-03 -7.6604993247978892e-01 
+1.3000000000000000e+00 -2.6983684397893039e-04 -2.2222352847201300e-07 +2.2123408886007738e-03 -7.6605692215082000e-01 
+1.4000000000000001e+00 -2.6983684057505105e-04 -2.8098561923488559e-07 +2.2426686485595738e-03 -7.6606280345076194e-01 
+1.5000000000000002e+00 -2.6983683640379970e-04 -3.4055929259373399e-07 +2.2729994915111403e-03 -7.6606767117439989e-01 
+1.6000000000000003e+00 -2.6983683145322666e-04 -4.0094360416743172e-07 +2.3033331330673079e-03 -7.6607162011399055e-01 
+1.7000000000000004e+00 -2.6983682571138200e-04 -4.6213760974803215e-07 +2.3336692888399116e-03 -7.6607474505368411e-01 
+1.8000000000000005e+00 -2.6983681916631602e-04 -5.2414036454363091e-07 +2.3640076744562114e-03 -7.6607714080849043e-01 
+1.9000000000000006e+00 -2.6983681180607887e-04 -5.8695092441022040e-07 +2.3943480055318980e-03 -7.6607890215950813e-01 
+2.0000000000000004e+00 -2.6983680361872009e-04 -6.5056834473490199e-07 +2.4246899976479558e-03 -7.6608012391320501e-01 
+2.1000000000000005e+00 -2.6983679459228988e-04 -7.1499168130947898e-07 +2.4550333664432136e-03 -7.6608090085547520e-01 
+2.2000000000000006e+00 -2.6983678471483784e-04 -7.8021998940015080e-07 +2.4853778275063681e-03 -7.6608132779871352e-01 
+2.3000000000000007e+00 -2.6983677397441345e-04 -8.4625232476704711e-07 +2.5157230964338289e-03 -7.6608149953221605e-01 
+2.4000000000000008e+00 -2.6983676235906625e-04 -9.1308774288096476e-07 +2.5460688888335747e-03 -7.6608151085861342e-01 
+2.5000000000000009e+00 -2.6983674985685236e-04 -9.8072530383862231e-07 +2.5764149216825770e-03 -7.6608145612100786e-01 
+2.6000000000000010e+00 -2.6983673645631029e-04 -1.0491644028032956e-06 +2.6067610124997798e-03 -7.6608139615162207e-01 
+2.7000000000000011e+00 -2.6983672214677865e-04 -1.1184049912223012e-06 +2.6371071455552541e-03 -7.6608133617337815e-01 
+2.8000000000000012e+00 -2.6983670691767194e-04 -1.1884470723349420e-06 +2.6674533208644251e-03 -7.6608127620069366e-01 
+2.9000000000000012e+00 -2.6983669075840455e-04 -1.2592906497791697e-06 +2.6977995384388619e-03 -7.6608121622959158e-01 
+3.0000000000000013e+00 -2.6983667365839005e-04 -1.3309357271653609e-06 +2.7281457982592829e-03 -7.6608115625504891e-01 
+3.1000000000000014e+00 -2.6983665560704274e-04 -1.4033823079896297e-06 +2.7584921003411134e-03 -7.6608109627954279e-01 
+3.2000000000000015e+00 -2.6983663659361937e-04 -1.4766305046508028e-06 +2.7888384119827609e-03 -7.6608102541280265e-01 
+3.3000000000000016e+00 -2.6983661660593810e-04 -1.5506814288619782e-06 +2.8191844007694525e-03 -7.6608083284180439e-01 
+3.4000000000000017e+00 -2.6983659563104397e-04 -1.6255367290151880e-06 +2.8495295732233594e-03 -7.6608035407947206e-01 
+3.5000000000000018e+00 -2.6983657365597463e-04 -1.7011980587015032e-06 +2.8798734343434061e-03 -7.6607942411877628e-01 
+3.6000000000000019e+00 -2.6983655066776721e-04 -1.7776670716621998e-06 +2.9102154890899550e-03 -7.6607787794457383e-01 
+3.7000000000000020e+00 -2.6983652665345898e-04 -1.8549454213766437e-06 +2.9405552424272233e-03 -7.6607555055611087e-01 
+3.8000000000000020e+00 -2.6983650160008728e-04 -1.9330347615562831e-06 +2.9708921993387115e-03 -7.6607227693667534e-01 
+3.9000000000000021e+00 -2.6983647549468889e-04 -2.0119367458747872e-06 +3.0012258647732120e-03 -7.6606789207513826e-01 
+4.0000000000000018e+00 -2.6983644832430056e-04 -2.0916530280321857e-06 +3.0315557436718047e-03 -7.6606223095391490e-01 
+4.1000000000000014e+00 -2.6983642007595956e-04 -2.1721852616745829e-06 +3.0618813410218460e-03 -7.6605512856082925e-01 
+4.2000000000000011e+00 -2.6983639073670186e-04 -2.2535351005637050e-06 +3.0922021617258515e-03 -7.6604641987472233e-01 
+4.3000000000000007e+00 -2.6983636029356459e-04 -2.3357041984168039e-06 +3.1225177107634663e-03 -7.6603593987844787e-01 
+4.4000000000000004e+00 -2.6983661273682636e-04 -2.6159186828313815e-06 +3.2119948352262841e-03 -7.4630107616430452e-01 
