# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] 
+0.0000000000000000e+00 -1.4240244990877161e-05 +2.9003641860434205e-05 -9.7998312324050073e-04 -3.5318397946410133e-03 
+1.0000000000000001e-01 -1.4156030925833457e-05 +2.9049849654933005e-05 -9.8204754958311166e-04 -3.1384787188947095e-03 
+2.0000000000000001e-01 -1.4071738737725202e-05 +2.9096778849723255e-05 -9.8293973893219620e-04 -2.6842901847581031e-03 
+3.0000000000000004e-01 -1.3987368246035942e-05 +2.9146560639185611e-05 -9.8261458770087552e-04 -2.2362151556052151e-03 
+4.0000000000000002e-01 -1.3902918309544824e-05 +2.9200815567497053e-05 -9.8107391047781473e-04 -1.8399873137874847e-03 
+5.0000000000000000e-01 -1.3818385818333794e-05 +2.9260564454535739e-05 -9.7848482478919241e-04 -1.5360142432746715e-03 
+5.9999999999999998e-01 -1.3733766269806190e-05 +2.9326207943581825e-05 -9.7513791470315496e-04 -1.3615857066796354e-03 
+6.9999999999999996e-01 -1.3649055059766921e-05 +2.9397504831636048e-05 -9.7131865785608665e-04 -1.3354852006197992e-03 
+7.9999999999999993e-01 -1.3564248166696776e-05 +2.9473481048723083e-05 -9.6728658669008533e-04 -1.4486893185618106e-03 
+8.9999999999999991e-01 -1.3479341879554447e-05 +2.9552877744763639e-05 -9.6329089216654019e-04 -1.6791897190104866e-03 
+9.9999999999999989e-01 -1.3394332709268533e-05 +2.9634323999641824e-05 -9.5956993541720795e-04 -1.9978379745331895e-03 
+1.0999999999999999e+00 -1.3309217686763342e-05 +2.9716315971453993e-05 -9.5633421434583674e-04 -2.3672196273984039e-03 
+1.2000000000000000e+00 -1.3223994516974583e-05 +2.9797309057929350e-05 -9.5375673429766320e-04 -2.7460199686064127e-03 
+1.3000000000000000e+00 -1.3138660663732672e-05 +2.9875627569256471e-05 -9.5202341751293696e-04 -3.0847553415838244e-03 
+1.4000000000000001e+00 -1.3053214124989704e-05 +2.9950027416996001e-05 -9.5129941212275429e-04 -3.3511500104988104e-03 
+1.5000000000000002e+00 -1.2967655066450255e-05 +3.0020191652904247e-05 -9.5160185771600819e-04 -3.5391763242228020e-03 
+1.6000000000000003e+00 -1.2881984974449157e-05 +3.0086419705723842e-05 -9.5283774953819388e-04 -3.6490095288004521e-03 
+1.7000000000000004e+00 -1.2796205541856305e-05 +3.0149567517904651e-05 -9.5491272672521693e-04 -3.6958747233225989e-03 
+1.8000000000000005e+00 -1.2710318446567862e-05 +3.0210793943302029e-05 -9.5773959452302357e-04 -3.7066302472898429e-03 
+1.9000000000000006e+00 -1.2624325652504171e-05 +3.0271248625559500e-05 -9.6120577210844047e-04 -3.7116445188036815e-03 
+2.0000000000000004e+00 -1.2538229416396224e-05 +3.0331962094671449e-05 -9.6518363022465045e-04 -3.7379034853456221e-03 
+2.1000000000000005e+00 -1.2452031951438749e-05 +3.0393986974921216e-05 -9.6954730075370251e-04 -3.8151959650113499e-03 
+2.2000000000000006e+00 -1.2365735154380953e-05 +3.0458412414512743e-05 -9.7418772321621104e-04 -3.9767348301739678e-03 
+2.3000000000000007e+00 -1.2279341635369659e-05 +3.0526578795290767e-05 -9.7895645492331192e-04 -4.2692603423834510e-03 
+2.4000000000000008e+00 -1.2192854010388067e-05 +3.0599557861921842e-05 -9.8369467423935642e-04 -4.7292128850995457e-03 
+2.5000000000000009e+00 -1.2106272850693037e-05 +3.0677180576558417e-05 -9.8833569129095451e-04 -5.3400522214049357e-03 
+2.6000000000000010e+00 -1.2019597876802191e-05 +3.0758583316954959e-05 -9.9285035570765515e-04 -6.0607844006607238e-03 
+2.7000000000000011e+00 -1.1932828596283684e-05 +3.0842380753480144e-05 -9.9721301225981647e-04 -6.8369838917976510e-03 
