# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] 
+0.0000000000000000e+00 -5.3169967438688613e-04 +9.2098771008730193e-07 +3.5832415322763610e-03 -1.5090586397619250e+00 
+1.0000000000000001e-01 -5.3169968519398765e-04 +8.2615871357481887e-07 +3.6428708701432828e-03 -1.5091131889842972e+00 
+2.0000000000000001e-01 -5.3169969479510270e-04 +7.2970634513818709e-07 +3.7025135670657929e-03 -1.5091633129518180e+00 
+3.0000000000000004e-01 -5.3169970316668748e-04 +6.3163246522319164e-07 +3.7621690627360387e-03 -1.5092091984140275e+00 
+4.0000000000000002e-01 -5.3169971028519953e-04 +5.3193893443001812e-07 +3.8218367969078695e-03 -1.5092510321347641e+00 
+5.0000000000000000e-01 -5.3169971612709388e-04 +4.3062761341675112e-07 +3.8815162092271571e-03 -1.5092890008787396e+00 
+5.9999999999999998e-01 -5.3169972066882665e-04 +3.2770036317831843e-07 +3.9412067394091876e-03 -1.5093232914254799e+00 
+6.9999999999999996e-01 -5.3169972388685362e-04 +2.2315904412476326e-07 +4.0009078271152588e-03 -1.5093540905328997e+00 
+7.9999999999999993e-01 -5.3169972575763027e-04 +1.1700551735827224e-07 +4.0606189120375169e-03 -1.5093815849878489e+00 
+8.9999999999999991e-01 -5.3169972625761249e-04 +9.2416433355754563e-09 +4.1203394338989625e-03 -1.5094059615517299e+00 
+9.9999999999999989e-01 -5.3169972536325466e-04 -1.0013071674554094e-07 +4.1800688323069025e-03 -1.5094274070178448e+00 
+1.0999999999999999e+00 -5.3169972305101192e-04 -2.1110970257957429e-07 +4.2398065469689107e-03 -1.5094461081397494e+00 
+1.2000000000000000e+00 -5.3169971929733920e-04 -3.2369345289817996e-07 +4.2995520175462855e-03 -1.5094622517194678e+00 
+1.3000000000000000e+00 -5.3169971407869023e-04 -4.3788010702172890e-07 +4.3593046836617596e-03 -1.5094760245274648e+00 
+1.4000000000000001e+00 -5.3169970737152036e-04 -5.5366780440237716e-07 +4.4190639850229070e-03 -1.5094876133326411e+00 
+1.5000000000000002e+00 -5.3169969915228257e-04 -6.7105468358783024e-07 +4.4788293612216101e-03 -1.5094972049480044e+00 
+1.6000000000000003e+00 -5.3169968939743124e-04 -7.9003888417477506e-07 +4.5386002519191672e-03 -1.5095049861330381e+00 
+1.7000000000000004e+00 -5.3169967808341977e-04 -9.1061854490108196e-07 +4.5983760967614508e-03 -1.5095111436948248e+00 
+1.8000000000000005e+00 -5.3169966518670211e-04 -1.0327918049954780e-06 +4.6581563354097574e-03 -1.5095158644148177e+00 
+1.9000000000000006e+00 -5.3169965068373048e-04 -1.1565568035449340e-06 +4.7179404074174074e-03 -1.5095193350809195e+00 
+2.0000000000000004e+00 -5.3169963455095893e-04 -1.2819116795030341e-06 +4.7777277524842614e-03 -1.5095217424930694e+00 
+2.1000000000000005e+00 -5.3169961676483935e-04 -1.4088545719962471e-06 +4.8375178101636397e-03 -1.5095232734375998e+00 
+2.2000000000000006e+00 -5.3169959730182481e-04 -1.5373836200526744e-06 +4.8973100201014147e-03 -1.5095241147102634e+00 
+2.3000000000000007e+00 -5.3169957613836754e-04 -1.6674969625608803e-06 +4.9571038219048940e-03 -1.5095244531137866e+00 
+2.4000000000000008e+00 -5.3169955325091920e-04 -1.7991927384861874e-06 +5.0168986551351125e-03 -1.5095244754472326e+00 
+2.5000000000000009e+00 -5.3169952861594578e-04 -1.9324690958613253e-06 +5.0766939621913537e-03 -1.5095243676050780e+00 
+2.6000000000000010e+00 -5.3169950221086248e-04 -2.0673248430409292e-06 +5.1364893834409389e-03 -1.5095242494464300e+00 
+2.7000000000000011e+00 -5.3169947401466211e-04 -2.2037598838734445e-06 +5.1962848879407572e-03 -1.5095241312871934e+00 
+2.8000000000000012e+00 -5.3169944400648561e-04 -2.3417742255056229e-06 +5.2560804756599582e-03 -1.5095240131180181e+00 
+2.9000000000000012e+00 -5.3169941216547488e-04 -2.4813678744004888e-06 +5.3158761466525310e-03 -1.5095238949640724e+00 
