# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] 
+0.0000000000000000e+00 -7.9209735510801923e-04 +1.3720375701603875e-06 +5.3381190118135299e-03 -2.2481137657981529e+00 
+1.0000000000000001e-01 -7.9209737120785359e-04 +1.2307664712839968e-06 +5.4269515672912740e-03 -2.2481950302727296e+00 
+2.0000000000000001e-01 -7.9209738551107409e-04 +1.0870769609128123e-06 +5.5158040243257862e-03 -2.2482697022409583e+00 
+3.0000000000000004e-01 -7.9209739798260820e-04 +9.4097181009166632e-07 +5.6046755483014693e-03 -2.2483380598908482e+00 
+4.0000000000000002e-01 -7.9209740858738047e-04 +7.9245379160417814e-07 +5.6935653044330485e-03 -2.2484003814933837e+00 
+5.0000000000000000e-01 -7.9209741729031782e-04 +6.4152567694697139e-07 +5.7824724581049250e-03 -2.2484569452641181e+00 
+5.9999999999999998e-01 -7.9209742405634577e-04 +4.8819023859287795e-07 +5.8713961745781003e-03 -2.2485080294639310e+00 
+6.9999999999999996e-01 -7.9209742885038778e-04 +3.3245024780066942e-07 +5.9603356190827250e-03 -2.2485539122919849e+00 
+7.9999999999999993e-01 -7.9209743163736980e-04 +1.7430847757943921e-07 +6.0492899569106490e-03 -2.2485948720457749e+00 
+8.9999999999999991e-01 -7.9209743238221571e-04 +1.3767699122919920e-08 +6.1382583533382985e-03 -2.2486311869216751e+00 
+9.9999999999999989e-01 -7.9209743104985029e-04 -1.4916931488547120e-07 +6.2272399736266739e-03 -2.2486631351997497e+00 
+1.0999999999999999e+00 -7.9209742760519644e-04 -3.1449979248836341e-07 +6.3162339830059259e-03 -2.2486909951210037e+00 
+1.2000000000000000e+00 -7.9209742201317816e-04 -4.8222096150485920e-07 +6.4052395467062029e-03 -2.2487150449390003e+00 
+1.3000000000000000e+00 -7.9209741423871827e-04 -6.5233004982807861e-07 +6.4942558299730816e-03 -2.2487355629066048e+00 
+1.4000000000000001e+00 -7.9209740424673956e-04 -8.2482428524836851e-07 +6.5832819980058610e-03 -2.2487528272850530e+00 
+1.5000000000000002e+00 -7.9209739200216463e-04 -9.9970089537027569e-07 +6.6723172160501158e-03 -2.2487671163425560e+00 
+1.6000000000000003e+00 -7.9209737746991575e-04 -1.1769571081192328e-06 +6.7613606493205705e-03 -2.2487787083323281e+00 
+1.7000000000000004e+00 -7.9209736061491484e-04 -1.3565901509369903e-06 +6.8504114630011000e-03 -2.2487878815312943e+00 
+1.8000000000000005e+00 -7.9209734140208365e-04 -1.5385972520497890e-06 +6.9394688222910034e-03 -2.2487949141874486e+00 
+1.9000000000000006e+00 -7.9209731979634258e-04 -1.7229756385875768e-06 +7.0285318923587296e-03 -2.2488000845948015e+00 
+2.0000000000000004e+00 -7.9209729576261369e-04 -1.9097225383908281e-06 +7.1175998384344283e-03 -2.2488036710191261e+00 
+2.1000000000000005e+00 -7.9209726926581718e-04 -2.0988351791842334e-06 +7.2066718256556979e-03 -2.2488059517279413e+00 
+2.2000000000000006e+00 -7.9209724027087250e-04 -2.2903107884076105e-06 +7.2957470191447119e-03 -2.2488072050121239e+00 
+2.3000000000000007e+00 -7.9209720874270093e-04 -2.4841465937345233e-06 +7.3848245841470440e-03 -2.2488077091416332e+00 
+2.4000000000000008e+00 -7.9209717464622149e-04 -2.6803398226508938e-06 +7.4739036857540183e-03 -2.2488077424073523e+00 
+2.5000000000000009e+00 -7.9209713794637347e-04 -2.8788877162387930e-06 +7.5629834932217817e-03 -2.2488075817384803e+00 
+2.6000000000000010e+00 -7.9209709860951114e-04 -3.0797884991213218e-06 +7.6520634707841016e-03 -2.2488074057034320e+00 
+2.7000000000000011e+00 -7.9209705660433967e-04 -3.2830420280987248e-06 +7.7411435723656694e-03 -2.2488072296706410e+00 
+2.8000000000000012e+00 -7.9209701189978537e-04 -3.4886483135844012e-06 +7.8302237979973339e-03 -2.2488070536317428e+00 
+2.9000000000000012e+00 -7.9209696446477275e-04 -3.6966073658974444e-06 +7.9193041476019709e-03 -2.2488068775923220e+00 
+3.0000000000000013e+00 -7.9209691426822867e-04 -3.9069191954313491e-06 +8.0083846212875547e-03 -2.2488067015537836e+00 
+3.1000000000000014e+00 -7.9209686127907654e-04 -4.1195838125335415e-06 +8.0974652189615363e-03 -2.2488065255175256e+00 
+3.2000000000000015e+00 -7.9209680546578169e-04 -4.3346015475718088e-06 +8.1865458447249514e-03 -2.2488063174882669e+00 
+3.3000000000000016e+00 -7.9209674679258356e-04 -4.5519756634144821e-06 +8.2756255227437684e-03 -2.2488057522111311e+00 
+3.4000000000000017e+00 -7.9209668522145439e-04 -4.7717109987595241e-06 +8.3647028044762685e-03 -2.2488043468419128e+00 
+3.5000000000000018e+00 -7.9209662071434218e-04 -4.9938124082190695e-06 +8.4537762367685714e-03 -2.2488016169822020e+00 
+3.6000000000000019e+00 -7.9209655323319607e-04 -5.2182847457223943e-06 +8.5428443665130725e-03 -2.2487970782611377e+00 
+3.7000000000000020e+00 -7.9209648273996448e-04 -5.4451328658583212e-06 +8.6319057406021686e-03 -2.2487902462820526e+00 
+3.8000000000000020e+00 -7.9209640919659398e-04 -5.6743616219796341e-06 +8.7209589057431550e-03 -2.2487806367012806e+00 
+3.9000000000000021e+00 -7.9209633256503351e-04 -5.9059758691602827e-06 +8.8100024088901257e-03 -2.2487677650879796e+00 
+4.0000000000000018e+00 -7.9209625280722974e-04 -6.1399804612462077e-06 +8.8990347968275017e-03 -2.2487511470733734e+00 
+4.1000000000000014e+00 -7.9209616988512935e-04 -6.3763802532283396e-06 +8.9880546163242786e-03 -2.2487302982252273e+00 
+4.2000000000000011e+00 -7.9209608376067879e-04 -6.6151800987579770e-06 +9.0770604141957225e-03 -2.2487047341796433e+00 
+4.3000000000000007e+00 -7.9209599439582505e-04 -6.8563848528549567e-06 +9.1660507372262577e-03 -2.2486739704967067e+00 
+4.4000000000000004e+00 -7.9209673543479363e-04 -7.6789453980092200e-06 +9.4287079406045558e-03 -2.1907429199595563e+00 
+4.5000000000000000e+00 -7.9210187379579009e-04 -1.1559919546420501e-05 +1.0608146458431071e-02 -1.8272058023845232e+00 
+4.5999999999999996e+00 -7.9210626469832174e-04 -1.2476860593900129e-05 +1.2286919088639015e-02 -1.4985570523353025e+00 
+4.6999999999999993e+00 -7.9210649183802321e-04 -8.5253966945007945e-06 +1.4114491769734446e-02 -1.3352662070579899e+00 
+4.7999999999999989e+00 -7.9209972189435700e-04 +1.5145709645219993e-06 +1.5879992942469837e-02 -1.4091153357309396e+00 
+4.8999999999999986e+00 -7.9208050837771906e-04 +1.9437135625999228e-05 +1.7220778564171636e-02 -1.8197727343809378e+00 
+4.9999999999999982e+00 -7.9204108309105720e-04 +4.3754652532563162e-05 +1.7594437313478716e-02 -2.5094529386923834e+00 
+5.0999999999999979e+00 -7.9198296500873318e-04 +6.9428869001005229e-05 +1.7035903676272227e-02 -3.2410475666538847e+00 
+5.1999999999999975e+00 -7.9190523079457960e-04 +9.3547028047151655e-05 +1.5499694230254235e-02 -3.8779736897176198e+00 
+5.2999999999999972e+00 -7.9180517435390309e-04 +1.1174335584882883e-04 +1.2866238247690545e-02 -4.2149196891435361e+00 
+5.3999999999999968e+00 -7.9168068261817987e-04 +1.1559380745226659e-04 +9.2656741834991029e-03 -3.8781878030846508e+00 
+5.4999999999999964e+00 -7.9154405380155092e-04 +1.0805732434895034e-04 +5.5837607147959543e-03 -3.0530479138534834e+00 
+5.5999999999999961e+00 -7.9140053093361179e-04 +9.1605488270851568e-05 +2.3256767109347183e-03 -1.9115654618020097e+00 
+5.6999999999999957e+00 -7.9125589969578287e-04 +6.9223494856255499e-05 +1.0779796991162734e-04 -6.6980685753617597e-01 
+5.7999999999999954e+00 -7.9112803517645755e-04 +5.9038259000793820e-05 +1.0990225982127502e-03 -5.2624253300370505e-01 
+5.8999999999999950e+00 -7.9100198736056196e-04 +5.0588054237291142e-05 +2.1783700701886633e-03 -4.3973344997952934e-01 
+5.9999999999999947e+00 -7.9087721071050248e-04 +4.3416475531258921e-05 +3.2263269374896378e-03 -3.6966674836207319e-01 
+6.0999999999999943e+00 -7.9075373236127758e-04 +3.7467024540382441e-05 +4.2432201178743446e-03 -3.1541350931210194e-01 
+6.1999999999999940e+00 -7.9063157635181455e-04 +3.2683275438389075e-05 +5.2292643547105352e-03 -2.7634457502347626e-01 
+6.2999999999999936e+00 -7.9051076362876116e-04 +2.9008882587128274e-05 +6.1845622294078141e-03 -2.5183055313882363e-01 
+6.3999999999999932e+00 -7.9039131205052809e-04 +2.6387588230704123e-05 +7.1091041818252890e-03 -2.4124182347351480e-01 
