# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] 
+0.0000000000000000e+00 -1.2525557785000368e-03 +2.1696241953694166e-06 +8.4412500199398041e-03 -3.5549770112377641e+00 
+1.0000000000000001e-01 -1.2525558039589524e-03 +1.9462300256655761e-06 +8.5817223115057049e-03 -3.5551055160231155e+00 
+2.0000000000000001e-01 -1.2525558265768567e-03 +1.7190115833486230e-06 +8.7222260738502207e-03 -3.5552235959148817e+00 
+3.0000000000000004e-01 -1.2525558462982863e-03 +1.4879732532458342e-06 +8.8627599870013327e-03 -3.5553316909639561e+00 
+4.0000000000000002e-01 -1.2525558630677761e-03 +1.2531194171003284e-06 +9.0033227309253266e-03 -3.5554302410639713e+00 
+5.0000000000000000e-01 -1.2525558768298655e-03 +1.0144544590654027e-06 +9.1439129858352855e-03 -3.5555196862361749e+00 
+5.9999999999999998e-01 -1.2525558875290887e-03 +7.7198276217284038e-07 +9.2845294317283455e-03 -3.5556004664401075e+00 
+6.9999999999999996e-01 -1.2525558951099823e-03 +5.2570871054375369e-07 +9.4251707486941918e-03 -3.5556730216973720e+00 
+7.9999999999999993e-01 -1.2525558995170802e-03 +2.7563668688049005e-07 +9.5658356166991049e-03 -3.5557377919580855e+00 
+8.9999999999999991e-01 -1.2525559006949167e-03 +2.1771074988381750e-08 +9.7065227157402175e-03 -3.5557952172313025e+00 
+9.9999999999999989e-01 -1.2525558985880261e-03 -2.3588374097811583e-07 +9.8472307258763662e-03 -3.5558457375452579e+00 
+1.0999999999999999e+00 -1.2525558931409421e-03 -4.9732337852018705e-07 +9.9879583270738315e-03 -3.5558897928472861e+00 
+1.2000000000000000e+00 -1.2525558842981970e-03 -7.6254345275742785e-07 +1.0128704199298896e-02 -3.5559278232046756e+00 
+1.3000000000000000e+00 -1.2525558720043229e-03 -1.0315395809863929e-06 +1.0269467022548695e-02 -3.5559602685745269e+00 
+1.4000000000000001e+00 -1.2525558562038533e-03 -1.3043073788739790e-06 +1.0410245476789507e-02 -3.5559875690080895e+00 
+1.5000000000000002e+00 -1.2525558368413176e-03 -1.5808424626748685e-06 +1.0551038241864217e-02 -3.5560101645140740e+00 
+1.6000000000000003e+00 -1.2525558138612484e-03 -1.8611404487152893e-06 +1.0691843997862507e-02 -3.5560284951179368e+00 
+1.7000000000000004e+00 -1.2525557872081758e-03 -2.1451969538727913e-06 +1.0832661424627257e-02 -3.5560430008011825e+00 
+1.8000000000000005e+00 -1.2525557568266287e-03 -2.4330075930270951e-06 +1.0973489202032199e-02 -3.5560541216614476e+00 
+1.9000000000000006e+00 -1.2525557226611367e-03 -2.7245679825099175e-06 +1.1114326009981915e-02 -3.5560622977182561e+00 
+2.0000000000000004e+00 -1.2525556846562308e-03 -3.0198737393834207e-06 +1.1255170528504386e-02 -3.5560679689531236e+00 
+2.1000000000000005e+00 -1.2525556427564364e-03 -3.3189204778937652e-06 +1.1396021437226541e-02 -3.5560715755027403e+00 
+2.2000000000000006e+00 -1.2525555969062833e-03 -3.6217038153722476e-06 +1.1536877416207214e-02 -3.5560735573395590e+00 
+2.3000000000000007e+00 -1.2525555470502988e-03 -3.9282193675492242e-06 +1.1677737145227580e-02 -3.5560743545225115e+00 
